role,company,exp,salary,location,desc,req
sr. big data engineer,Big Data BizViz (BizViz Technologies Pvt. Ltd),5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","DescriptionBizViz provides a 360 degree view of a business's data, serving any vertical...","ERP
MS SQL
Data analysis
NoSQL
cassandra
MySQL
Scrum
Pattern recognition"
big data engineer,"ANMUTSOLUTIONS Pvt,Ltd.",5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","Description BizViz provides a 360 degree view of a business's data, serving any vertica...","ERP
MS SQL
Data analysis
NoSQL
cassandra
MySQL
Scrum
Pattern recognition"
big data engineer,"ANMUTSOLUTIONS Pvt,Ltd.",5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","Description BizViz provides a 360 degree view of a business's data, serving any vertica...","ERP
MS SQL
Data analysis
NoSQL
cassandra
MySQL
Scrum
Pattern recognition"
big data engineer,"ANMUTSOLUTIONS Pvt,Ltd.",5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","Description BizViz provides a 360 degree view of a business's data, serving any vertica...","ERP
MS SQL
Data analysis
NoSQL
cassandra
MySQL
Scrum
Pattern recognition"
marketing operations data analyst,Hitachi Consulting Software Services India Limited,5-10 Yrs,Not disclosed,Pune,"The Role The marketing operations data analyst is responsible for defining, maintaining...","Computer science
Data analysis
Schema
Intellectual property
Javascript
Gap analysis
Pentaho
Operations"
digital - data lakes - data mining engineer,FactSet Systems India Pvt Ltd,3-7 Yrs,Not disclosed,Hyderabad,About The Role: FactSet Data Science team is currently seeking Data scientist or Data M...,"Automation
Data analysis
GIT
Linux
Data structures
Windows
Data mining
MATLAB"
data analyst,Concept International Business Consulting Pvt Ltd,3-5 Yrs,Not disclosed,"Delhi NCR, Gurgaon","Co-ordinate with Sales and Marketing teams for data, information and intelligence suppo...","R
Azure
DATA ENGINEERING
SAP Analytics Cloud
Python
SQL"
advanced automation data analyst machine learning/ statistical,Serving Skill,5-9 Yrs,Not disclosed,"Bengaluru, Gurgaon",Job Description : Individual performer in the IT Advisory Services team to provide supp...,"Data Science
UiPath
Power BI
Statistical Modeling
Data Visualization
Data Analyst
Data Warehousing
Machine Learning"
data engineers,Analytos,0-2 Yrs,Not disclosed,India,"BSc IT , MSC IT , MCA Experience : 0 to 2 years A good data engineer is has extensive k...","python
Data analysis
Configuration management
Windows
Apache
Troubleshooting
java
Coding"
sr. analyst - data science - iit/nit/iim/xlri/fms,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon,"Must have strong capabilities in problem solving, managing own work diligently, thoroug...","IT Skills
Python
Machine Learning
Tableau
Data Science
SAS
Tableau
Qlik"
data analyst - bi tools/tableau and advanced excel - fintech,Benchire,3-8 Yrs,Not disclosed,Bengaluru,"Work From Home Bachelor s degree in Mathematics, Computer Science, Economics, or Statis...","IT Skills
Tableau
Analytics
SQL
R
NoSQL
Statistical modeling
Python"
product/data analyst - bi tools/tableau and advanced excel,Benchire,3-8 Yrs,Not disclosed,Bengaluru,Qualifications: Any Technical graduate (Candidates from Tier1 technical colleges would ...,"IT Skills
Tableau
Analytics
SQL
R
NoSQL
Statistical modeling
Python"
urgent requirement for database analysts and data administrators,Global Immigration Consultancy Inc.,3-8 Yrs,"1,00,000 - more than 3,00,000 PA.","Hong Kong, Canada",Description of Main Duties Database analysts perform some or all of the following dutie...,"database designer
information resource analyst
data miner / mining analyst
data warehouse analyst
database analyst
data dictionary administrator
database architect
data analyst informatics and systems"
hiring for data analyst in canada & honkong,Global Immigration Consultancy Inc.,3-7 Yrs,"25,00,000 - 35,00,000 PA.","Hong Kong, Canada","Managing master data, including creation, updates, and deletion.Managing users and user...","IT Skills
Quality Assurance
Data Integrity
Report Generation
Data Analysis
Data Cleansing
Data Mining
Data Warehousing"
data analyst - sql/ database maintenance,Career Infosystem,5-8 Yrs,Not disclosed,Bengaluru,"Roles and ResponsibilitiesRequired skillset : data analysis, data mapping, restful API,...","Database Maintenance
RESTful API
Applications Implementation
DBA
PL-SQL
System Implementation
Data Analyst
Analytics"
sr. big data analyst,Collabera Technologies Private Limited,5-10 Yrs,"10,00,000 - 15,00,000 PA.",Pune,Roles and Responsibilities Good technical proficiency with hands on experience inProgra...,"Jenkins
GIT
Confluence
Big Data
Data Analysis
Spark
JIRA
AWS"
sr.information analyst,vHealth by Aetna,1-3 Yrs,Not disclosed,Delhi NCR,Data Analysis: indentifying any discrepancies/ flaws and their comparisons using functi...,"BPO
data analysis
Pivot Table
SUMIF
Countif
Excel
VLOOKUP
Data Analysis"
data analyst,Talent Connect,1-3 Yrs,Not disclosed,"Bengaluru, KA","Roles and ResponsibilitiesInterpret data, analyze results using statistical techniques ...","Javascript
XML
DATA ANALYST
ETL frameworks"
looking for data analyst,WENGER and WATSON INC.,4-9 Yrs,Not disclosed,Bengaluru,Microsoft Azure Machine Learning lab experience preferredStrong background in statistic...,"Predictive Modeling
R
Excel
Segmentation
SAS
Data Analysis
Data Mining
Tableau"
data analyst,Catalyst,1-3 Yrs,Not disclosed,Bengaluru,"Interpret data, analyze results using statistical techniques and provide ongoing report...","ETL frameworks
data warehouse
XML
Javascript
Data Analyst
data integrity"
mis analyst,V-BAZAAR RETAIL PVT LTD.,3-8 Yrs,Not disclosed,"Delhi NCR, Gurgaon",Preparing excel tracker on a daily basis Generate reports on a daily basis for monitori...,"MIS Preparation
Data Analysis
Business Excellence
Dashboards
Inventory Analysis
MIS Reporting
Monitoring
Optimization"
looking for data analyst,WENGER and WATSON INC.,5-10 Yrs,Not disclosed,Bengaluru,Microsoft Azure Machine Learning lab experience preferredStrong background in statistic...,"Predictive Modeling
R
Excel
Segmentation
SAS
Data Analysis
Data Mining
Tableau"
data analyst,ManpowerGroup Services India Private Limited,0-5 Yrs,"2,25,000 - more than 3,00,000 PA.",Kolkata,Shift Location - kolkata ( will be work from home as per situation of covid19 ) Opportu...,"Data Quality
Excel
Data Analysis
Data Visualization
Quality Management
SQL"
bdb big data engineer,BizViz Technologies Pvt. Ltd.,5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","BizViz provides a 360 degree view of a business's data , serving any vertical and meeti...","IT Skills
Python
Javascript
Big Data
AWS
BPO
non voice
outbound"
dw/bi/big data analyst - ssis/ssrs/ssas,HRBot,2-5 Yrs,Not disclosed,Gurgaon,"Good working knowledge of sql, data warehousing, business intelligence","IT Skills
Big Data
Azure
Business Intelligence
Azure
SSRS
Big Data
data warehousing"
data architect/ data engineer,Pronix Inc,10-15 Yrs,Not disclosed,Hyderabad,"Job Description:Location: Gachibowli , Hyderabad , India Work Timings: 2PM 11PM IST Nee...","Computer science
Data analysis
operational support
MIS
Data Architect
Troubleshooting
Oracle
Data mining"
opening for data quality analyst in bangalore,2Coms Consulting Pvt Ltd.,3-5 Yrs,"3,00,000 - 4,75,000 PA.",Bengaluru(Bellandur),Flexible to work in shiftsShift: Rotational Including NightREQUIRED: Good in Voice and ...,"quality analysis
data quality
data quality executive
International Voice
International Process
data quality analyst
data analyst"
big data engineer,BizViz Technologies Pvt. Ltd.,5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","Description BizViz provides a 360 degree view of a business's data, serving any vertica...","algorithms
ERP
Data analysis
development
technical
Social media
Service
developing"
bdb big data engineer,BizViz Technologies Pvt. Ltd.,5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","Description BizViz provides a 360 degree view of a business's data, serving any vertica...","ERP
Data analysis
development
technical
Social media
it
Data mining
Ideas"
data analyst,Talent Connect,1-3 Yrs,Not disclosed,Bengaluru,"Roles and ResponsibilitiesInterpret data, analyze results using statistical techniques ...","Javascript
data warehouse
XML
Data Analyst
ETL frameworks"
data analyst - sql/data modeling,Askexim Services,7-10 Yrs,Not disclosed,Mumbai,Roles and ResponsibilitiesEducation: B.E./B.Tech./MCA/EquivalentExperience: 7 - 10 year...,"IT Skills
Tableau
Database Design
Data Mining
Data Analyst
Data Modeling
ETL
SQL"
hiring for master data analyst,Global Immigration Consultancy Inc.,0-5 Yrs,"15,00,000 - 20,00,000 PA.","Germany, Canada, Singapore",Should have leadership qualityShould be able to do multiple tasks,"Excel
VLOOKUP
Problem Solving
Formulas
Data Analysis
Secondary Skills
Master Data
HLOOKUP"
bdb big data engineer,"ANMUTSOLUTIONS Pvt,Ltd.",5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","Proficient in writing custom handlers for Elasticsearch / Solr;Education , Experience ,...","ERP
Data analysis
MS SQL
Team Building
Social media
MySQL
Service
Data mining"
bdb big data engineer,"ANMUTSOLUTIONS Pvt,Ltd.",5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad","Proficient in writing custom handlers for Elasticsearch / Solr;Education , Experience ,...","ERP
Data analysis
MS SQL
Algorithms
Team Building
Social media
MySQL
Data mining"
mis executive - hari darshan group,Hari Darshan Sevashram (P) Ltd,3-5 Yrs,"2,25,000 - 3,00,000 PA.",Noida,"Any additional data collection tasks, as and when requiredGood hand in Excel would be p...","Excel
Data Analysis
Secondary Sales
Primary Sales
Auditing
Stock Audit"
mis- sr. executive,Atom Technologies Ltd,2-5 Yrs,Not disclosed,Mumbai,"Job Description Roles and Responsibilities Preparing MIS reports on daily, weekly and m...","Mining
Data analysis
Excel
Back office
Data processing
Mining operations
MS Office
Powerpoint"
mis executive,Emami Realty Ltd.,4-8 Yrs,"2,00,000 - 3,00,000 PA.",Kolkata,Must have Experience in ERP FarvisionReal Estate Experience preferable,"MIS Preparation
Corporate Presentations
Data Analysis
direct presentations
MIS Reporting"
mis executive,ATHRAV AGRICURE PRIVATE LIMITED,2-3 Yrs,"1,00,000 - 1,75,000 PA.",Lucknow,"Candidate must have understanding of operational process, logical thinking Should have ...","MIS Preparation
Excel
Technical Skills
Data Analysis
Data Operations
Data Processing
MS Office
MIS Reporting"
product / insight analyst,Vuclip,3-4 Yrs,Not disclosed,Pune,Key Responsibility And Accountability Acting as voice of the customer and ensuring thei...,"Computer science
SAN
Data analysis
Business analysis
Strategic partnerships
Analytical
QlikView
Analytics"
data engineer - azure,Scienaptic Systems,4-5 Yrs,Not disclosed,Bengaluru,We are looking for a highly motivated Data Engineer with a strong command over Azure Da...,"CVS
SQL queries
Data analysis
spark
Debugging
SCALA
Distribution system
Data warehousing"
aws data engineer,VManpower Service,4-10 Yrs,Not disclosed,Kochi,Job Description Aws Data Engineer - experience Level: 4 Years to 10 Years. lob Location...,"Data analysis
Data migration
Production
Cloud
Programming
Mentor
Solution delivery
AWS"
sr. analyst,Hyrefox,3-5 Yrs,Not disclosed,Chennai,Core Java / J2EE / Python. Working knowledge of different AI/ ML model executables (PMM...,"Performance tuning
Core Java
Tomcat
Data analysis
GIT
Machine learning
SCALA
JSON"
product/data analyst - bi tools/tableau and advanced excel - gaming,Benchire,3-8 Yrs,Not disclosed,Bengaluru,Qualifications: Any Technical graduate (Candidates from Tier1 technical colleges would ...,"Analytics
SQL
R
NoSQL
Statistical modeling
Python
Google Analytics
Data Analysis"
product/data analyst - bi tools/tableau and advanced excel - gaming,Benchire,3-8 Yrs,Not disclosed,Bengaluru,Qualifications: Any Technical graduate (Candidates from Tier1 technical colleges would ...,"Analytics
SQL
R
NoSQL
Statistical modeling
Python
Google Analytics
Data Analysis"
data analyst - bi tools/tableau and advanced excel - fintech,Benchire,3-8 Yrs,Not disclosed,Bengaluru,"Work From Home Bachelor s degree in Mathematics, Computer Science, Economics, or Statis...","Analytics
SQL
R
NoSQL
Statistical modeling
Python
Google Analytics
Data Analysis"
programmer/analyst,Netapp India Private Limited,2-5 Yrs,Not disclosed,Bengaluru,"Experience with various data systems like Oracle Data Warehouse, SAP HANA, Hadoop / Hiv...","Computer science
Data analysis
XML
Machine learning
JSON
Customer support
Install base
SSL"
programmer/analyst 1,Netapp India Private Limited,2-5 Yrs,Not disclosed,Bengaluru,"Experience with various data systems like Oracle Data Warehouse, SAP HANA, Hadoop / Hiv...","Computer science
Data analysis
XML
Machine learning
JSON
Customer support
Install base
SSL"
sr. programmer/analyst - python development,Netapp India Private Limited,8-13 Yrs,Not disclosed,Bengaluru,"Job Summary You will analyse existing programs or formulates logic for new systems, dev...","Unix
Data analysis
Version control
GIT
Linux
Coding
Project management
Django"
